; El Archivo Poi Ascii ha sido creado Encendio 16/06/2016 por PoiEdit, ©2002-2008 por Dnote Software (http://www.dnote.nl). Todos Los Derechos Reservados.

0.18765, 40.82780, "Barranc dels Comellassos (Beceite)   (Gratuito;Agua:no;WC:no)"
-5.65390, 56.45490, "Duart Castle  (Gratuito;Agua:si;WC:si)"
-0.46384, 38.79071, "Font del Baladre  (Gratuito;Agua:si;WC:no)"
5.99650, 59.02175, "Indra Barkaviga  (Gratuito;Agua:no;WC:no)"
7.31963, 48.85667, "La Petite Pierre (Alsacia)  (Gratuito;Agua:si;WC:si)"
-0.51597, 41.83067, "Las Tres Huegas-San Simon (LeciÃ±ena)  (Gratuito;Agua:no;WC:no)"
1.20067, 49.25048, "Le Vaudreuil  (Gratuito;Agua:no;WC:no)"
6.51458, 43.94705, "Le Verdon - Ravin de Culas  (Gratuito;Agua:no;WC:no)"
-1.17723, 37.56489, "Parking Azohia  gratuito: si, agua: si, wc:no"
-9.37992, 38.79024, "Parking praça Dom Fernando II (Sintra)  Gratuito: si Agua: No WC: No"
-0.36569, 39.01509, "Pla de Corrals, Simat de la Valldigna  (Gratuito;Agua:si;WC:no)"
-5.49442, 43.54360, "Playa del Meron  Gratuito: si Agua: no  WC: No"
-6.38516, 36.62944, "Playa Los Corrales  Gratuito Agua: Si (Duchas de la playa y Ã¡rea AC cercana)"
-9.41548, 38.95529, "Praia do Sul (Ericeira)  Gratuito: Si, Pernocta: Si Agua:  Si WC:Si"
-8.75018, 42.91588, "Refugio de Covas (Negreira)  (Gratuito;Agua:si;WC:no)"
5.03119, 43.54806, "Saint Chamas  Gratuito: si Agua: No  WC: No"
-8.83535, 41.70268, "Santa Luzia , Viana do Castelo  (Gratuito;Agua:si;WC:si)"
25.03042, 58.43073, "Toramaal (P. N. de Soomaa)  (Gratuito;Agua:si;WC:si; electric;si)"
23.08559, 54.06922, "Abadia de Wigry  (Gratuito;Agua:no;Wc:si, de pago)"
-4.59360, 48.60360, "Aber Wrach  Gratuito: si; Agua: no; Wc: no"
-8.19056, 39.45399, "Abrantes  Gratuito; Agua: si; Wc: si"
0.20633, 49.71086, "Acantilados de Etretat  Gratuito; Agua: no; Wc: no"
-4.09176, 43.43209, "Acantilados de Tagle  (Gratuito;Agua:no;Wc:no)"
-5.75601, 41.49688, "Aceñas de Olivares (Zamora)  (parking urbano;Gratuito;Agua:si;Wc:no)"
-10.02288, 54.01564, "Achill island  Gratuito; Agua: no; Wc: no"
22.86765, 37.88990, "Acrocorintio  Gratuito; Agua: no; Wc: no"
23.72304, 37.96934, "Acropolis (Atenas)  (Gratuito;Agua:no;Wc:no)"
1.69219, 41.45044, "Acueducto del Pont Nou  Gratuito; Agua: si; Wc: no"
-8.65451, 43.02564, "Aera Recreativa Bembibre  Agua: Si    WC: No   Gratuito: Si"
-8.90655, 42.83778, "Aera Recreativa Vistalegre  Agua: Si    WC: No   Gratuito: Si"
1.85127, 41.59047, "Aeri de Montserrat  (Gratuito;Agua:no;Wc:no)"
0.65268, 41.55247, "Aerodrom Republica de Alfes  (Gatuito;Agua:no;Wc:no)"
3.47198, 43.31570, "Agde  Agua: Si, Wc: Si, Luz: No, Gratuito: Si"
23.07100, 39.08890, "Agias Kyriaky  (Gratuito;Agua:si;Wc:no)"
21.92226, 36.86310, "Agios Andreas (Messinia)   (Gratuito;Agua:no;Wc:no)"
19.64187, 39.75492, "Agios Stefanos (isla de Corfu)  Gratuito;Agua: no; Wc: no"
19.92670, 39.73703, "Agni (Isla de Corfu)  Gratuito; Agua: no; Wc: no"
4.19897, 43.56853, "Aigues Mortes  (Gratuito;Agua:no;Wc:no;parking urbano)"
4.18394, 43.56808, "Aigues Mortes  (Gratuito;Agua:no;Wc:no)"
4.55255, 44.30520, "Aigueze  (Gratuito;Agua:no;WC:no)"
-0.34068, 39.90049, "Ain  Gratuito; Agua: si; Wc: no; parking en pueblo pequeño"
0.13433, 42.41877, "Ainsa  Gratuito; Agua: no; Wc: si"
-7.42549, 57.38292, "Aird a Mhachair (South Uist)  (Gratuito;Agua:no;WC:no)"
-0.62124, 42.68804, "Aisa  (Gratuito;Agua:no;Wc:si)"
5.88807, 45.70520, "Aix-les-Bains  Gratuito; Agua: si; Wc: si"
-3.59496, 40.45697, "Alameda de Osuna  (Gratuito;Agua:no;Wc:no)"
-2.08859, 39.54582, "Alarcón (Cuenca)  Gratuito: No, Pernocta: Si Agua: Si WC:No"
10.45821, 57.63989, "Albaek (Skagen)  (Gratuito;Agua:si;Wc:si)"
-1.43646, 40.40909, "Albarracin  (Gratuito;Agua:no;Wc:no;parking urbano)"
-1.95893, 41.29173, "Albergue de Cetina  (recinto urbano privado;Gratuito;Agua:no;Wc:no)"
-0.00330, 42.17618, "Albergue Los Meleses (Radiquero)  (6eur/noche;Agua:si;Wc:si)"
-0.71754, 40.37203, "Alcala de la Selva  Gratuito: si Agua: No  WC: No"
-1.42735, 39.19268, "Alcala del Jucar  (Gratuito;Agua:no;WC:no)"
-0.13540, 41.04976, "Alcañiz Centro  Gratuito: Si Agua: Si WC: No"
-2.49341, 38.66395, "Alcaraz  (Gratuito;Agua:no;WC:no  OJO: MiÃ©rcoles mercado)"
-7.47380, 37.47294, "Alcoutim  (Gratuito;Agua:no;WC:no)"
-0.49461, 38.68681, "Alcoy, Barrio Batoy  (Gratuito;Agua:si;WC:si)"
-5.71284, 40.14360, "Aldeanueva de la Vera  Gratuito; Agua: si; wc: no"
-7.38690, 38.34360, "Aldeia da Luz  Gratuito: si; Agua: si; Wc: si"
-3.20505, 43.26958, "Alen  Gratuito: si; Agua: si, wc: no"
-0.06962, 38.57098, "Alfaz del Pi  Gratuito; Agua: no; Wc: no; Parking urbano"
8.31779, 40.56282, "Alghero  (Gratuito;Agua:no;Wc:no;parking urbano)"
-3.98701, 36.98538, "Alhama de Granada  Agua: No   WC: No    Gratuito: Si"
-8.80293, 37.31637, "Aljezur  Gratuito: si, Agua: no, Wc: no"
-2.10637, 43.17357, "Alkiza  (Gratuito;Agua:no;WC:no)"
-7.80353, 42.19301, "ALLARIZ, Provincia de Ourense.  Gratuito: si Agua: Si WC: No"
-6.90448, 40.72755, "Almeida  Gratuito; Agua: si; Wc: si ; parking en pueblo pequeño"
-8.80533, 37.64832, "Almograve  Agua: Si, WC: No, Gratuito: Si"
1.88384, 42.37427, "Alp  Gratuito: Si, Agua: No, WC: No"
8.18990, 46.93362, "Alpanach   (Gratuito;Agua:si;Wc:no)"
8.29420, 46.96598, "Alpnachstad  (Gratuito;Agua:no;WC:no)"
-2.68335, 43.07833, "Alto de Dima  Gratuito: Si, Pernocta: Si, Agua: Si"
-5.90564, 43.14332, "Alto de La Cobertoria  (Gratuito;Agua:no;Wc:no)"
-3.10119, 42.21582, "Alto de la Cruz de la Demanda  Gratuito: si; Agua: no; Wc: no"
-6.09035, 43.05722, "Alto de la Farrapona  (Gratuito;Agua:no;Wc:no)"
