; El Archivo Poi Ascii ha sido creado Encendio 16/06/2016 por PoiEdit, ©2002-2008 por Dnote Software (http://www.dnote.nl). Todos Los Derechos Reservados.

-0.64337, 38.11232, "Cañada real de la Costa  Varias rutas ciclables"
13.58290, 46.50324, "Ciclovia Alpeadria (acceso por Tarvisio)  177 km de via verde asfaltada"
-2.58162, 42.91514, "Embalse Ullbarri Gamboa  Gratuito: Si"
-6.09703, 43.17052, "Senda del Oso  28 km de via verde acondicionada"
-4.03607, 43.42805, "Suances-Barros  20km"
6.36339, 48.15928, "Tour du Lac de Bouzey  (7km)"
-2.18979, 42.66120, "V. V. del ff.cc. Vasco-Navarro (acceso por Ancin)  (20 km de via verde)"
-5.42961, 36.96493, "V.V. de la Sierra de Cádiz  Distancia de la vía 36 km"
-1.69069, 43.27550, "V.v. del Bidasoa (acceso desde Bera)  40km de via verde"
-1.75301, 43.33735, "V.v. del Bidasoa (acceso desde Irun)  40km de via verde"
-1.66603, 43.13406, "V.v. del Bidasoa (acceso desde Santesteban)  40km de via verde"
-1.67377, 41.99440, "V.v. del Tarazonica (acceso desde Cascante)  22 km de via verde"
-0.04634, 43.08921, "V.v. des Gaves (acceso por Lourdes)  27 km acondicionados"
-0.06748, 42.96247, "V.v. des Gaves (acceso por Pierrefitte-Nestalas)  27 km acondicionados"
-0.72082, 40.03005, "V.v. Ojos Negros II (acceso desde Barracas)  68 km de via verde"
-0.57197, 39.94742, "V.v. Ojos Negros II (acceso desde Caudiel)  68 km de via verde"
-3.46163, 42.32184, "V.V. Sierra de la Demanda (Arlanzon)  22 km de via verde acondicionada"
-3.30437, 42.22575, "V.V. Sierra de la Demanda (Pineda de la Sierra)  30 km de via verde acondicionada"
-3.17140, 42.14975, "V.V.Sierra de la Demanda (Barbadillo de Herreros)  25 km de via verde acondicionada"
2.95953, 43.56667, "VÃ­a verde Passa Pais (Haut-Languedoc)  (75 km asfaltados y grava)"
-0.49461, 38.68681, "VÃ­a verde de Alcoy  10 km de via verde"
-1.47548, 43.48658, "Via verde Baiona-Ustaritz (acceso desde Baiona)  (13 km asfaltados junto al rio Nive)"
-1.46331, 43.41206, "Via verde Baiona-Ustaritz (acceso desde Ustaritz)  (13 km asfaltados junto al rio Nive)"
1.62874, 50.18234, "Via verde Canal de la Somme  (15 km acondicionados)"
-2.91320, 42.54792, "Via Verde Casalarreina-Ezcaray"
0.50005, 40.82536, "via verde del Baix Ebre y Terra Alta  Gratuito: Si, Pernocta: Si Agua: Si WC:si"
-1.98468, 42.30075, "Via Verde del Cidacos  Agua: Si, WC: No, Gratuito: Si"
-1.91817, 43.08727, "Via verde del Plazaola (acceso por Leitza)  12 km de via verde acondicionados"
-1.88987, 43.00180, "Via verde del Plazaola (acceso por Lekunberri)"
-2.31446, 43.17498, "Via Verde del Urola (acceso desde Azkoitia)  23 km de via verde"
-5.67032, 43.21794, "Via verde del Valle de Turon"
-2.65989, 42.86912, "Via Verde ff.cc. Vasco-Navarro (tramo Gazteiz-Arla  15 km asfaltados"
-3.11221, 43.26910, "via verde galdames (parkeatxuriaga)  Gratuito: Si, Agua: Si, WC: en verano"
0.08558, 40.05777, "Via Verde Oropesa-Benicassim  (5.60 km de via verde)"
-3.91814, 43.19944, "Vi­a verde del Pas (acceso desde Ontaneda)  34 km de via verde"
5.61280, 46.65487, "Vi­a verde Perrigny-Conliege   (18 km de firme irregular)"
6.66186, 47.92057, "Voie Verte des Hautes Vosges  Km:54"
